ID	genotipo	tratamiento	dia	t&d	replica	compartimento	choose	Genotype	Compartment
RM2-1	amarillo	riego	dia_0	riego/dia_0	1	endosfera	si	Amarillo	Root
RM2-2	amarillo	riego	dia_0	riego/dia_0	2	endosfera	si	Amarillo	Root
RM2-3	amarillo	riego	dia_0	riego/dia_0	3	endosfera	si	Amarillo	Root
RM2-4	amarillo	riego	dia_0	riego/dia_0	4	endosfera	si	Amarillo	Root
RN2-1	amarillo	riego	dia_7	riego/dia_7	1	endosfera	si	Amarillo	Root
RN2-2	amarillo	riego	dia_7	riego/dia_7	2	endosfera	si	Amarillo	Root
RN2-3	amarillo	riego	dia_7	riego/dia_7	3	endosfera	si	Amarillo	Root
RN2-4	amarillo	riego	dia_7	riego/dia_7	4	endosfera	si	Amarillo	Root
R02-1	amarillo	riego	dia_14	riego/dia_14	1	endosfera	si	Amarillo	Root
R02-2	amarillo	riego	dia_14	riego/dia_14	2	endosfera	si	Amarillo	Root
R02-3	amarillo	riego	dia_14	riego/dia_14	3	endosfera	si	Amarillo	Root
R02-4	amarillo	riego	dia_14	riego/dia_14	4	endosfera	si	Amarillo	Root
SM2-1	amarillo	sequia	dia_0	sequia/dia_0	1	endosfera	si	Amarillo	Root
SM2-2	amarillo	sequia	dia_0	sequia/dia_0	2	endosfera	si	Amarillo	Root
SM2-3	amarillo	sequia	dia_0	sequia/dia_0	3	endosfera	si	Amarillo	Root
SM2-4	amarillo	sequia	dia_0	sequia/dia_0	4	endosfera	si	Amarillo	Root
SN2-1	amarillo	sequia	dia_7	sequia/dia_7	1	endosfera	no	Amarillo	Root
SN2-2	amarillo	sequia	dia_7	sequia/dia_7	2	endosfera	no	Amarillo	Root
SN2-3	amarillo	sequia	dia_7	sequia/dia_7	3	endosfera	no	Amarillo	Root
SN2-4	amarillo	sequia	dia_7	sequia/dia_7	4	endosfera	no	Amarillo	Root
S02-1	amarillo	sequia	dia_14	sequia/dia_14	1	endosfera	no	Amarillo	Root
S02-2	amarillo	sequia	dia_14	sequia/dia_14	2	endosfera	no	Amarillo	Root
S02-3	amarillo	sequia	dia_14	sequia/dia_14	3	endosfera	no	Amarillo	Root
S02-4	amarillo	sequia	dia_14	sequia/dia_14	4	endosfera	no	Amarillo	Root
G2BRP10	amarillo	riego	dia_0	riego/dia_0	1	rizosfera	si	Amarillo	Rhizosphere
G2BRP20	amarillo	riego	dia_0	riego/dia_0	2	rizosfera	si	Amarillo	Rhizosphere
G2BRP30	amarillo	riego	dia_0	riego/dia_0	3	rizosfera	si	Amarillo	Rhizosphere
G2BRP40	amarillo	riego	dia_0	riego/dia_0	4	rizosfera	si	Amarillo	Rhizosphere
G2BRP17	amarillo	riego	dia_7	riego/dia_7	1	rizosfera	si	Amarillo	Rhizosphere
G2BRP27	amarillo	riego	dia_7	riego/dia_7	2	rizosfera	si	Amarillo	Rhizosphere
G2BRP37	amarillo	riego	dia_7	riego/dia_7	3	rizosfera	si	Amarillo	Rhizosphere
G2BRP47	amarillo	riego	dia_7	riego/dia_7	4	rizosfera	si	Amarillo	Rhizosphere
G2BRP114	amarillo	riego	dia_14	riego/dia_14	1	rizosfera	si	Amarillo	Rhizosphere
G2BRP214	amarillo	riego	dia_14	riego/dia_14	2	rizosfera	si	Amarillo	Rhizosphere
G2BRP314	amarillo	riego	dia_14	riego/dia_14	3	rizosfera	si	Amarillo	Rhizosphere
G2BRP414	amarillo	riego	dia_14	riego/dia_14	4	rizosfera	si	Amarillo	Rhizosphere
G2SEP10	amarillo	sequia	dia_0	sequia/dia_0	1	rizosfera	si	Amarillo	Rhizosphere
G2SEP20	amarillo	sequia	dia_0	sequia/dia_0	2	rizosfera	si	Amarillo	Rhizosphere
G2SEP30	amarillo	sequia	dia_0	sequia/dia_0	3	rizosfera	si	Amarillo	Rhizosphere
G2SEP40	amarillo	sequia	dia_0	sequia/dia_0	4	rizosfera	si	Amarillo	Rhizosphere
G2SEP17	amarillo	sequia	dia_7	sequia/dia_7	1	rizosfera	no	Amarillo	Rhizosphere
G2SEP27	amarillo	sequia	dia_7	sequia/dia_7	2	rizosfera	no	Amarillo	Rhizosphere
G2SEP37	amarillo	sequia	dia_7	sequia/dia_7	3	rizosfera	no	Amarillo	Rhizosphere
G2SEP47	amarillo	sequia	dia_7	sequia/dia_7	4	rizosfera	no	Amarillo	Rhizosphere
G2SEP114	amarillo	sequia	dia_14	sequia/dia_14	1	rizosfera	no	Amarillo	Rhizosphere
G2SEP214	amarillo	sequia	dia_14	sequia/dia_14	2	rizosfera	no	Amarillo	Rhizosphere
G2SEP314	amarillo	sequia	dia_14	sequia/dia_14	3	rizosfera	no	Amarillo	Rhizosphere
G2SEP414	amarillo	sequia	dia_14	sequia/dia_14	4	rizosfera	no	Amarillo	Rhizosphere
A1	sin_plantar	riego	dia_0	riego/dia_0	1	suelo	si	Bulk_soil	Bulk_soil
A3	sin_plantar	riego	dia_0	riego/dia_0	3	suelo	si	Bulk_soil	Bulk_soil
